Serial 	FileName 	SBD 	MaDe 	BaiLam
104	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_11.jpg	00012499	0003	BADADCDCBBCB____________________________          
105	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_12.jpg	00012526	0002	DDBBBBACADAC____________________________          
106	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_13.jpg	00012562	0001	DDBCACCBDDBB____________________________          
107	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_14.jpg	00012583	0001	DDBCACCBDDBB____________________________          
108	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_15.jpg	00012624	0003	BADADCDCBBCB____________________________          
109	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_16.jpg	00012642	0003	BADADCDCBBCB____________________________          
110	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_17.jpg	00012672	0003	BADADCDCBBCB____________________________          
111	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_18.jpg	00012027	0002	DDABBBACADAC____________________________          
112	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_19.jpg	00012059	0001	DDBCACCBDDBB____________________________          
113	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_2.jpg	00012281	0002	DDBBBBACADAC____________________________          
114	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_20.jpg	00012104	0002	DDABBBACADAC____________________________          
115	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_21.jpg	00012111	0001	DDBCACCBDDBB____________________________          
116	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_22.jpg	00012138	0004	BCAACCD*CDBD____________________________          
117	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_23.jpg	00012167	0002	DDABBBACADAC____________________________          
118	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_24.jpg	00012194	0004	BCAABBDBCDBD____________________________          
119	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_3.jpg	00012308	0004	BCAABBDBCDBD____________________________          
120	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_4.jpg	00012358	0003	BADADCDCBBCB____________________________          
121	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_5.jpg	00012363	0004	BCAABBDBCDBD____________________________          
122	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_6.jpg	00012389	0003	BCDABCDCBBCB____________________________          
123	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_7.jpg	00012416	0003	BADADCDCBBCB____________________________          
124	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_8.jpg	00012446	0001	DDBCACCBDDBB____________________________          
125	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_9.jpg	00012474	0003	BADADCDCBBCB____________________________          
126	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006.jpg	00012225	0003	BADADCDCBBCB____________________________          
127	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_1.jpg	00012261	0004	BCAABBDBCDBD____________________________          
128	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_10.jpg	00012006	0002	DDBBBBACADAC____________________________          
129	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_11.jpg	00012500	0004	BCAABBDBCDBD____________________________          
130	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_12.jpg	00012533	0003	BADAACDCBBCB____________________________          
131	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_13.jpg	00012572	0003	BADADCDCBBCB____________________________          
132	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_14.jpg	00012588	0004	BCAABBDBCDBD____________________________          
133	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_15.jpg	00012614	0002	DDABBBACADAC____________________________          
134	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_16.jpg	00012643	0002	DDBBBBACADAC____________________________          
135	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_17.jpg	00012677	0004	BCAABBDBCDBD____________________________          
136	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_18.jpg	00012053	0001	DDBCACCBDDBB____________________________          
137	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_19.jpg	00012068	0004	BCAABBDBCDBD____________________________          
138	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_2.jpg	00012282	0003	BADADCDCBBCB____________________________          
139	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_20.jpg	00012101	0001	DDBCADCBDDBB____________________________          
140	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_21.jpg	00012112	0004	BCAABBDBCDBD____________________________          
